,19_1,19_1_gen,19_2,19_2_gen,19_3,19_3_gen,19_4,19_4_gen,19_5,19_5_gen,19_6,19_6_gen,19_7,19_7_gen,19_8,19_8_gen,19_9,19_9_gen,19_10,19_10_gen,19_11,19_11_gen,19_12,19_12_gen
15,Plague Inc. (전염병 주식회사),시뮬레이션,Analog Budapest,oto & Video,Analog Seoul,oto & Video,미니 메트로,시뮬레이션,NewBorder - 뉴보더 여백의 미,oto & Video,Facetune - 무광고 버전,사진,유니콘:광고차단 필수 앱,생산성,Analog Jeju,oto & Video,Dead Cells,,Very Little Nightmares,venture,Analog Brooklyn,oto & Video,GoodNotes 5,oductivity
16,Alto s Odyssey,액션,Rummikub,보드,Analog Jeju,oto & Video,Plague Inc. (전염병 주식회사),시뮬레이션,FILCA - SLR 필름 카메라,oto & Video,Analog London,oto & Video,Plague Inc. (전염병 주식회사),시뮬레이션,Analog London,oto & Video,유니콘:광고차단 필수 앱,생산성,SOVS - 촬영부탁 필수앱,사진,STAY: Are you there?,venture,Analog Brooklyn,oto & Video
17,Forest: 집중하기,생산성,유니콘:광고차단 필수 앱,생산성,샐리의 법칙,어드벤처,Analog Jeju,oto & Video,Analog Seoul,oto & Video,유니콘:광고차단 필수 앱,생산성,Analog Budapest,oto & Video,Plague Inc. (전염병 주식회사),시뮬레이션,구닥,사진,Analog Jeju,oto & Video,Bloons TD 6,전략,SOVS - 촬영부탁 필수앱,사진
18,구닥,사진,구닥,사진,Analog London,oto & Video,Analog Seoul,oto & Video,Isoland,venture,Analog Seoul,oto & Video,FILCA - SLR 필름 카메라,oto & Video,워터파크 스토리,시뮬레이션,Alien: Blackout,tion,Geometry Dash,아케이드,Filmica,oto & Video,갓피플성경,도서/참고자료
19,캐슬레전드3: 영원의 성,le Playing,"Peace, Death!",아케이드,유니콘:광고차단 필수 앱,생산성,유니콘:광고차단 필수 앱,생산성,유니콘:광고차단 필수 앱,생산성,Kingdom Rush Frontiers,전략,RFS - Real Flight Simulator,시뮬레이션,구닥,사진,위대한 정복자: 로마,전략,Analog Seoul,oto & Video,Facetune - 무광고 버전,사진,Geometry Dash,아케이드
20,Rummikub,보드,Facetune - 무광고 버전,사진,Rummikub,보드,데이그램 - 하루 한줄 일기장,라이프스타일,구닥,사진,아이언 마린 (Iron Marines),전략,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,Analog Seoul,oto & Video,FILCA - SLR 필름 카메라,oto & Video,"Peace, Death!",아케이드,포켓 빌드,시뮬레이션,구닥,사진
21,FILCA - SLR 필름 카메라,oto & Video,kirakira+,oto & Video,ilSang Pro,oto & Video,nPlayer - The best media player,tertainment,Rummikub,보드,Forest: 집중하기,생산성,Rummikub,보드,Facetune - 무광고 버전,사진,Facetune - 무광고 버전,사진,Kingdom Rush Frontiers,전략,Plague Inc. (전염병 주식회사),시뮬레이션,NBA 2K20,스포츠
22,유니콘:광고차단 필수 앱,생산성,Analog Portland,oto & Video,Feica - 나의 첫번째 필름 카메라,oto & Video,구닥,사진,Analog London,oto & Video,Analog Budapest,oto & Video,위대한 정복자: 로마,전략,Football Manager 2019 Mobile,스포츠,Analog Seoul,oto & Video,포켓 빌드,시뮬레이션,SOVS - 촬영부탁 필수앱,사진,DEEMO,음악
23,서울 2033 : 후원자,어드벤처,데이그램 - 하루 한줄 일기장,라이프스타일,구닥,사진,Analog Budapest,oto & Video,Rebel Inc. (반란 주식회사),시뮬레이션,ilSang Pro,oto & Video,Forest: 집중하기,생산성,유니콘:광고차단 필수 앱,생산성,"Peace, Death!",아케이드,nPlayer - The best media player,tertainment,갓피플성경,도서/참고자료,오투잼 - 뮤직 & 게임,
24,Facetune - 무광고 버전,사진,Analog Acoustic,oto & Video,Facetune - 무광고 버전,사진,Analog London,oto & Video,Analog Budapest,oto & Video,레이튼 교수와 이상한 마을 HD,어드벤처,8-STEP 영어회화 - 패턴 영어 회화 능력을 향상시키세요.,ucation,Forest: 집중하기,생산성,Analog London,oto & Video,GoodNotes 5,oductivity,Human Anatomy Atlas 2017 Edition - Complete 3D Human Body,dical,ilSang Pro,oto & Video
25,Analog Portland,oto & Video,로그하츠,롤플레잉,Rush Rally 2,자동차 경주,길고양이 이야기 : support edition,어드벤처,쉐프 우마미,mily,위대한 정복자: 로마,전략,Football Manager 2019 Mobile,스포츠,Analog Budapest,oto & Video,Analog Jeju,oto & Video,Analog Budapest,oto & Video,Analog Jeju,oto & Video,Facetune - 무광고 버전,사진
26,Analog Beijing,oto & Video,Analog Beijing,oto & Video,레드호른가의 탐정,어드벤처,ilSang Pro,oto & Video,미니 메트로,시뮬레이션,Rummikub,보드,Severed,tion,ilSang Pro,oto & Video,백화점 스토리2,시뮬레이션,CamScanner+,oductivity,Raid Manager,,Monument Valley,퍼즐
27,Analog Acoustic,oto & Video,레이튼 교수와 이상한 마을 HD,어드벤처,Rebel Inc. (반란 주식회사),시뮬레이션,Rummikub,보드,에버테일,롤플레잉,NewBorder - 뉴보더 여백의 미,oto & Video,Analog London,oto & Video,FEELT,oto & Video,Forest: 집중하기,생산성,Analog London,oto & Video,오드마,어드벤처,nPlayer - The best media player,tertainment
28,kirakira+,oto & Video,Poly Bridge,zzle,Analog Portland,oto & Video,CHRONO TRIGGER (Upgrade Ver.),롤플레잉,nPlayer - The best media player,tertainment,구닥,사진,Feica - 나의 첫번째 필름 카메라,oto & Video,지겨워하지마: VIP (방치형 RPG 게임),롤플레잉,Analog Budapest,oto & Video,ilSang Pro,oto & Video,Analog Seoul,oto & Video,재벌도시 스토리,캐주얼 게임
29,데이그램 - 하루 한줄 일기장,라이프스타일,TouchRetouch,사진,DEEMO,음악,DEEMO,음악,GoodNotes 4 - 메모와 PDF,oductivity,A Dance Of Fire and Ice,음악,A Dance Of Fire and Ice,음악,Terraria,어드벤처,nPlayer - The best media player,tertainment,갓피플성경,도서/참고자료,DEEMO,음악,Forest: 집중하기,생산성
30,레이튼 교수와 이상한 마을 HD,어드벤처,ilSang Pro,oto & Video,My Child Lebensborn,mulation,Kingdom Rush Frontiers,전략,Analog Portland,oto & Video,카툰 크래프트,전략,ilSang Pro,oto & Video,8-STEP 영어회화 - 패턴 영어 회화 능력을 향상시키세요.,ucation,Kingdom Rush Frontiers,전략,kirakira+,oto & Video,구닥,사진,Alto s Odyssey,액션
31,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,Feica - 나의 첫번째 필름 카메라,oto & Video,데이그램 - 하루 한줄 일기장,라이프스타일,Geometry Dash,아케이드,kirakira+,oto & Video,DEEMO,음악,NewBorder - 뉴보더 여백의 미,oto & Video,Feica - 나의 첫번째 필름 카메라,oto & Video,Geometry Dash,아케이드,위젯 캘린더,festyle,nPlayer - The best media player,tertainment,Analog Jeju,oto & Video
32,Space Marshals,액션,Cute Emoticon Keyboard,cial Networking,Pirates Outlaws,카드,세븐데이즈 - 라이트 노벨 어드벤처 .스토리 선택 게임,어드벤처,Geometry Dash,아케이드,Analog Portland,oto & Video,kirakira+,oto & Video,kirakira+,oto & Video,"편한가계부 (+음성, PC)",금융,Pirates Outlaws,카드,Analog London,oto & Video,kirakira+,oto & Video
33,Samorost 3 (사모로스트 3),어드벤처,nPlayer - The best media player,tertainment,당신은 희망 입니다 (You are Hope),롤플레잉,Reigns: 왕좌의 게임,카드,FEELT,oto & Video,kirakira+,oto & Video,GoodNotes 4 - 메모와 PDF,oductivity,Rush Rally 2,자동차 경주,Analog Portland,oto & Video,NBA 2K20,스포츠,Ski Safari,아케이드,Analog London,oto & Video
34,Poly Bridge,zzle,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,Kingdom Rush Frontiers,전략,LumaFusion,oto & Video,DEEMO,음악,Analog Beijing,oto & Video,룸즈: 장난감 장인의 저택,퍼즐,Geometry Dash,아케이드,레이튼 교수와 이상한 마을 HD,어드벤처,DEEMO,음악,kirakira+,oto & Video,Hidden Folks,venture
35,"편한가계부 (+음성, PC)",금융,"편한가계부 (+음성, PC)",금융,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,oto & Video,Cute Emoticon Keyboard,cial Networking,길고양이 이야기 : support edition,어드벤처,nPlayer - The best media player,tertainment,nPlayer - The best media player,tertainment,Reigns,카드,kirakira+,oto & Video,Bad North,,Analog Budapest,oto & Video,Analog Budapest,oto & Video
36,ilSang Pro,oto & Video,무디 - 영화/드라마 포토 다이어리,festyle,Cute Emoticon Keyboard,cial Networking,Hidden Folks,venture,Shadow Of Death: Premium Games,le Playing,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,개념 한국사,교육,TouchRetouch,사진,오투잼 - 뮤직 & 게임,,Football Manager 2019 Mobile,스포츠,Terraria,어드벤처,데이그램 - 하루 한줄 일기장,라이프스타일
37,Cute Emoticon Keyboard,cial Networking,부라보 사진기,oto & Video,nPlayer - The best media player,tertainment,Analog Portland,oto & Video,Analog Beijing,oto & Video,Rebel Inc. (반란 주식회사),시뮬레이션,Cute Emoticon Keyboard,cial Networking,Rummikub,보드,"PLOT - 플롯, 나의 이야기",oto & Video,GoodNotes 4 - 메모와 PDF,oductivity,Forest: 집중하기,생산성,GoodNotes 4 - 메모와 PDF,oductivity
38,DEEMO,음악,Reigns,카드,Analog Beijing,oto & Video,Rebel Inc. (반란 주식회사),시뮬레이션,ilSang Pro,oto & Video,Analog Acoustic,oto & Video,Geometry Dash,아케이드,GRIS,venture,Rummikub,보드,Forest: 집중하기,생산성,에버테일,롤플레잉,Analog Seoul,oto & Video
39,무디 - 영화/드라마 포토 다이어리,festyle,GoodNotes 4 - 메모와 PDF,oductivity,Geometry Dash,아케이드,Isoland,venture,데이그램 - 하루 한줄 일기장,라이프스타일,Muse Dash,음악,오투잼 - 뮤직 & 게임,,갓피플성경,도서/참고자료,갓피플성경,도서/참고자료,Feica - 나의 첫번째 필름 카메라,oto & Video,"편한가계부 (+음성, PC)",금융,Aquarium Tycoon,
40,GoodNotes 4 - 메모와 PDF,oductivity,LumaFusion,oto & Video,GoodNotes 4 - 메모와 PDF,oductivity,Dokuro,액션,Cute Emoticon Keyboard,cial Networking,Human: Fall Flat,퍼즐,Pirates Outlaws,카드,nPlayer - The best media player,tertainment,Analog Acoustic,oto & Video,"편한가계부 (+음성, PC)",금융,Doodle Jump,아케이드,"편한가계부 (+음성, PC)",금융
41,Phone Doctor Plus,도구,당신은 희망 입니다 (You are Hope),롤플레잉,Analog Acoustic,oto & Video,갓피플성경,도서/참고자료,레이튼 교수와 이상한 마을 HD,어드벤처,TouchRetouch,사진,갓피플성경,도서/참고자료,GoodNotes 5,oductivity,"하루하루 - 필수 시간관리 앱, 위젯으로 간편한 체크",oductivity,데이그램 - 하루 한줄 일기장,라이프스타일,ilSang Pro,oto & Video,Puffin Browser Pro,커뮤니케이션
42,갓피플성경,도서/참고자료,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,oto & Video,레이튼 교수와 이상한 마을 HD,어드벤처,레이튼 교수와 이상한 마을 HD,어드벤처,Very Little Nightmares,venture,"Peace, Death!",아케이드,Terraria,어드벤처,Wordmaster 워드마스터 수능 2000(18개정),ucation,NewBorder - 뉴보더 여백의 미,oto & Video,Puffin Browser Pro,커뮤니케이션,GoodNotes 4 - 메모와 PDF,oductivity,Analog Portland,oto & Video
43,던전 서바이벌,롤플레잉,Stardew Valley,롤플레잉,kirakira+,oto & Video,GoodNotes 4 - 메모와 PDF,oductivity,"편한가계부 (+음성, PC)",금융,Death Point,venture,DEEMO,음악,오투잼 - 뮤직 & 게임,,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,F3ATHER,,CamScanner+,oductivity,CamScanner+,oductivity
44,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,DEEMO,음악,RUUD,oto & Video,Feica - 나의 첫번째 필름 카메라,oto & Video,"하루 계획표, 학교종이",festyle,"하루하루 - 필수 시간관리 앱, 위젯으로 간편한 체크",oductivity,데이그램 - 하루 한줄 일기장,라이프스타일,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,데이그램 - 하루 한줄 일기장,라이프스타일,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,아이언 마린 (Iron Marines),전략
45,The Room: Old Sins,퍼즐,Rogue Cards - 던전 카드,zzle,Night of the Full Moon,전략,개념 한국사,교육,Night of the Full Moon,전략,Splendor,보드,Analog Portland,oto & Video,Analog Portland,oto & Video,GoodNotes 4 - 메모와 PDF,oductivity,킹덤 러쉬 벤전스 (Kingdom Rush Vengeance),전략,FILCA - SLR 필름 카메라,oto & Video,위플 가계부,nance
46,nPlayer - The best media player,tertainment,Hidden Folks,venture,갓피플성경,도서/참고자료,Analog Acoustic,oto & Video,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,Cute Emoticon Keyboard,cial Networking,레이튼 교수와 이상한 마을 HD,어드벤처,LumaFusion,oto & Video,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,RFS - Real Flight Simulator,시뮬레이션,Undead Horde,,Reigns,카드
47,ProCam 2 - 카메라와 사진 / 동영상 에디터,oto & Video,미니 메트로,시뮬레이션,Cytus II (사이터스Ⅱ),음악,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,oto & Video,Feica - 나의 첫번째 필름 카메라,oto & Video,GoodNotes 4 - 메모와 PDF,oductivity,서울 2033 : 후원자,어드벤처,GoodNotes 4 - 메모와 PDF,oductivity,RFS - Real Flight Simulator,시뮬레이션,Rummikub,보드,Doodle God™,퍼즐,삼국지 한말패업,전략
48,Stardew Valley,롤플레잉,"하루 계획표, 학교종이",festyle,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,Analog Beijing,oto & Video,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,oto & Video,Age of Civilizations II,전략,Age of Civilizations II,전략,레이튼 교수와 이상한 마을 HD,어드벤처,Cute Emoticon Keyboard,cial Networking,Doodle Jump,아케이드,RFS - Real Flight Simulator,시뮬레이션,My Child Lebensborn,mulation
49,NBA 2K19,스포츠,갓피플성경,도서/참고자료,Mimpi Dreams,어드벤처,SleepTown: 건강한 수면 습관 익히기,alth & Fitness,Kingdom Rush Frontiers,전략,갓피플성경,도서/참고자료,SleepTown: 건강한 수면 습관 익히기,alth & Fitness,"편한가계부 (+음성, PC)",금융,Analog Beijing,oto & Video,미니 메트로,시뮬레이션,NewBorder - 뉴보더 여백의 미,oto & Video,FILCA - SLR 필름 카메라,oto & Video
50,"하루 계획표, 학교종이",festyle,R-Play - PS4를 위한 리모트 플레이,tertainment,"편한가계부 (+음성, PC)",금융,위젯 캘린더,festyle,Analog Acoustic,oto & Video,LumaFusion,oto & Video,Bloons TD 5,전략,DEEMO,음악,던전공주,롤플레잉,Terraria,어드벤처,Hidden Folks,venture,VV Clock,
51,Just Press Record: Voice and Audio Recorder with Automatic Sync,ilities,Goblin Sword,le Playing,리틀베리숲이야기,어드벤처,Construction Simulator 3,시뮬레이션,SleepTown: 건강한 수면 습관 익히기,alth & Fitness,Hitman GO,퍼즐,Analog Beijing,oto & Video,60 Seconds! Atomic Adventure,어드벤처,LumaFusion,oto & Video,오투잼 - 뮤직 & 게임,,오투잼 - 뮤직 & 게임,,Procreate Pocket,tertainment
52,부라보 사진기,oto & Video,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,미니 메트로,시뮬레이션,뷰포트 (Viewport),퍼즐,ZAPAN - 자판,oto & Video,Feica - 나의 첫번째 필름 카메라,oto & Video,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,우리말 공부,교육,DEEMO,음악,Membership Widget Pro,nance,Kingdom Rush Frontiers,전략,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성
53,미니 메트로,시뮬레이션,Geometry Dash,아케이드,To the Moon,롤플레잉,Bloons TD 5,전략,갓피플성경,도서/참고자료,Poly Bridge,zzle,미니 메트로,시뮬레이션,회전초밥 스토리,캐주얼 게임,NBA 2K20,스포츠,The Swords of Ditto,,위젯 캘린더,festyle,Space Marshals,액션
54,트윈프린세스,mulation,"PLOT - 플롯, 나의 이야기",oto & Video,"지피지기 (사주,운세,궁합,토정비결,이름,해몽)",라이프스타일,iReal Pro ? 음악 책 & 합주,sic,용사민박,시뮬레이션,To the Moon,롤플레잉,Moment - Pro Camera,oto & Video,길고양이 이야기 : support edition,어드벤처,개념 한국사,교육,Isoland,venture,후엠아이: 도로시 이야기,시뮬레이션,Feica - 나의 첫번째 필름 카메라,oto & Video
55,Amazing Frog?,tion,서울 2033 : 후원자,어드벤처,워터파크 스토리,시뮬레이션,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,Terraria,어드벤처,Terraria,어드벤처,Rebel Inc. (반란 주식회사),시뮬레이션,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,"하루 계획표, 학교종이",festyle,개념 한국사,교육,SleepTown: 건강한 수면 습관 익히기,alth & Fitness,Splendor,보드
56,The Room Three,venture,Nexomon,le Playing,SleepTown: 건강한 수면 습관 익히기,alth & Fitness,포모도로,oductivity,뷰포트 (Viewport),퍼즐,"편한가계부 (+음성, PC)",금융,온더훅 : 더 얼티밋 패트론 에디션,시뮬레이션,NewBorder - 뉴보더 여백의 미,oto & Video,SleepTown: 건강한 수면 습관 익히기,alth & Fitness,Hidden Folks,venture,Dead Cells,,Wordmaster 워드마스터 수능 2000(18개정),ucation
57,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,oto & Video,Terraria,어드벤처,GoCamera 소니 PlayMemories 카메라 용,oto & Video,마녀의 샘,롤플레잉,던전 서바이벌,롤플레잉,Getting Over It with Bennett Foddy,시뮬레이션,LumaFusion,oto & Video,미니 메트로,시뮬레이션,Hyper Light Drifter,,Notability,oductivity,Pirates Outlaws,카드,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처
58,"PLOT - 플롯, 나의 이야기",oto & Video,워터파크 스토리,시뮬레이션,Phone Doctor Plus,도구,워터파크 스토리,시뮬레이션,iReal Pro ? 음악 책 & 합주,sic,던전공주,롤플레잉,영단어 완전학습 - 사전 & 단어장,ucation,Analog Beijing,oto & Video,워터파크 스토리,시뮬레이션,TouchRetouch,사진,위대한 정복자: 로마,전략,"하루하루 - 필수 시간관리 앱, 위젯으로 간편한 체크",oductivity
59,탐욕의 동굴(The Greedy Cave),롤플레잉,Phone Doctor Plus,도구,Hidden Folks,venture,Cytus II (사이터스Ⅱ),음악,GoodNotes 5,oductivity,Kingdom Rush Origins,전략,Analog Acoustic,oto & Video,Moment - Pro Camera,oto & Video,Rebel Inc. (반란 주식회사),시뮬레이션,위플 가계부,nance,히어로언리쉬드,롤플레잉,레이튼 교수와 이상한 마을 HD,어드벤처
60,박코치 학습기,ucation,히트맨 스나이퍼 (Hitman Sniper),액션,Florence,퍼즐,Filmica,oto & Video,Spectre 카메라,oto & Video,Shadow Of Death: Premium Games,le Playing,영화공방 스토리,시뮬레이션,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,GoodNotes 5,oductivity,Cytus II (사이터스Ⅱ),음악,AdGuard Pro - adblock and privacy protection,ilities,NewBorder - 뉴보더 여백의 미,oto & Video
61,Reigns: 왕좌의 게임,카드,NBA 2K19,스포츠,Terraria,어드벤처,감성공장,oductivity,위젯 캘린더,festyle,위플 가계부,nance,Poly Bridge,zzle,던전메이커,전략,Notability,oductivity,위대한 정복자: 로마,전략,GoodNotes 5,oductivity,마녀의 샘,롤플레잉
62,Night of the Full Moon,전략,Time Timer,oductivity,"하루 계획표, 학교종이",festyle,위플 가계부,nance,ProCam 2 - 카메라와 사진 / 동영상 에디터,oto & Video,개념 한국사,교육,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,oto & Video,Pirates Outlaws,카드,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,oto & Video,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,미니 메트로,시뮬레이션
63,Mi Band Master,alth & Fitness,위젯 캘린더,festyle,Amazing Frog?,tion,Phone Doctor Plus,도구,Speater (구간반복 어학기 - 노래/음악/동영상/영화/미드 ),ucation,Monument Valley,퍼즐,Infinite Flight - 비행 시뮬레이터,시뮬레이션,던전공주,롤플레잉,Journey,mily,FEELT,oto & Video,SOFTO - Polaroid Camera,,Dead Cells,
64,온더훅 : 더 얼티밋 패트론 에디션,시뮬레이션,Cytus II (사이터스Ⅱ),음악,마녀의 샘3,롤플레잉,"편한가계부 (+음성, PC)",금융,"nPlayer - 무인코딩, 스트리밍 동영상 재생 플레이어",tertainment,CamScanner+,oductivity,던전 서바이벌,롤플레잉,한국사 능력,ucation,Human: Fall Flat,퍼즐,Analog Beijing,oto & Video,"PLOT - 플롯, 나의 이야기",oto & Video,부라보 사진기,oto & Video
65,TouchRetouch,사진,GoodNotes 5,oductivity,Monument Valley,퍼즐,kirakira+,oto & Video,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,워터파크 스토리,시뮬레이션,MONG LI,oto & Video,Analog Acoustic,oto & Video,R-Play - PS4를 위한 리모트 플레이,tertainment,로그하츠,롤플레잉,FEELT,oto & Video,Analog Beijing,oto & Video
